,chq,faq
2088,   What are the causes of chronic perianal dermatitis in kids?  What is in Mycolog II cream? Syndrome Compartment Syndromes Compartment Syndrome ,   What is the dose of Sporanox?
2089,   How should a woman with known diethylstilbestrol exposure be followed?  Iodine?  Colposcopy? ,   How should a woman with known diethylstilbestrol exposure be followed?
2090,   How should a woman with known diethylstilbestrol exposure be followed?  Iodine?  Colposcopy? ,   How should I treat polymenorrhea in a 14-year-old girl?
2091,"   What is the treatment of rheumatoid arthritis in 1992?  What are the possibilities for acute flares and for disease altering medications? Arthritis Arthritis, Rheumatoid ",   What is the treatment of rheumatoid arthritis in 1992?
2092,"   What is the treatment of rheumatoid arthritis in 1992?  What are the possibilities for acute flares and for disease altering medications? Arthritis Arthritis, Rheumatoid ",   What is Legatrin?
2093,   What are the names and locations of the bursae around the knee? ,   What are the names and locations of the bursae around the knee?
2094,   What are the names and locations of the bursae around the knee? ,   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
2095,"   How do you treat someone with cervical spine arthritis with radicular pain and cervical spine series showing encroachment on neural foramina? Spinal Diseases Spondylarthritis Osteoarthritis Osteoarthritis, Spine Osteophyte ",   How do you treat radicular pain and cervical spine series showing encroachment on neural foramina?
2096,"   How do you treat someone with cervical spine arthritis with radicular pain and cervical spine series showing encroachment on neural foramina? Spinal Diseases Spondylarthritis Osteoarthritis Osteoarthritis, Spine Osteophyte ",   How should I treat polymenorrhea in a 14-year-old girl?
2097,   What is Sperling's sign (Sperling's maneuver)? ,   What is Sperling's sign?
2098,   What is Sperling's sign (Sperling's maneuver)? ,   Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?
2099,"   What causes a ""small population of reactive lymphocytes""? ","   What causes a ""small population of reactive lymphocytes""?"
2100,"   How good is the evidence that mitral valve prolapse causes chest pain and what are the characteristics of the pain? Chest Pain Pain, Postoperative Prolapse Mitral Valve Prolapse ",   How good is the evidence that mitral valve prolapse causes chest pain?
2101,"   How good is the evidence that mitral valve prolapse causes chest pain and what are the characteristics of the pain? Chest Pain Pain, Postoperative Prolapse Mitral Valve Prolapse ",   Why did she get Coccidiomycosis?
2102,   Can anemia or acute gastrointestinal blood loss elevate the lactate dehydrogenase? (Patient also had a transfusion reaction. LDH1 (lactate dehydrogenase1) was normal so not heart) Hemorrhage Liver Cirrhosis Gastrointestinal Hemorrhage Anemia ,   Can anemia or acute gastrointestinal blood loss elevate the lactate dehydrogenase?
2103,   Can anemia or acute gastrointestinal blood loss elevate the lactate dehydrogenase? (Patient also had a transfusion reaction. LDH1 (lactate dehydrogenase1) was normal so not heart) Hemorrhage Liver Cirrhosis Gastrointestinal Hemorrhage Anemia ,   How do you inject the bicipital tendon?
2104,"   How do you treat an acute transfusion reaction characterized by shaking chills and dyspnea?  Benadryl and hydrocortisone were used. Dyspnea Shock, Cardiogenic Shock ",   How do you treat an acute transfusion reaction characterized by shaking chills and dyspnea?
2105,"   How do you treat an acute transfusion reaction characterized by shaking chills and dyspnea?  Benadryl and hydrocortisone were used. Dyspnea Shock, Cardiogenic Shock ",   What is this tumor on his tongue?
2106,   When someone has a high white count secondary to demargination versus infection is the differential any help?  Doctor X seemed to imply that with demargination the differential would remain normal rather than shift to the left. Infection Communicable Diseases ,   Is the differential white blood cell count helpful in distinguishing between demargination and infection?
2107,   When someone has a high white count secondary to demargination versus infection is the differential any help?  Doctor X seemed to imply that with demargination the differential would remain normal rather than shift to the left. Infection Communicable Diseases ,   How should I treat polymenorrhea in a 14-year-old girl?
2108,"   What is the usual classification of hip fractures? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What is the classification of hip fractures?
2109,"   What is the usual classification of hip fractures? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   How should I treat polymenorrhea in a 14-year-old girl?
2110,   Is a Richard's screw the same thing as a compression screw? ,   Is a Richard's screw the same as a compression screw?
2111,   Is a Richard's screw the same thing as a compression screw? ,   How should I treat polymenorrhea in a 14-year-old girl?
2112,   What muscles attach to the greater trochanter? ,   What muscles attach to the greater trochanter?
2113,   What muscles attach to the greater trochanter? ,   Let's give these immunizations.  That's right isn't it?
2114,   How do you treat oral hairy leukoplakia? ,   How do you treat oral hairy leukoplakia?
2115,   How do you treat oral hairy leukoplakia? ,   How should I treat polymenorrhea in a 14-year-old girl?
2116,"   How do you diagnose Kaposi's sarcoma and how do you treat it? Sarcoma Sarcoma, Kaposi Soft Tissue Sarcoma Kaposi Sarcoma ",   How do you diagnose Kaposi's sarcoma?
2117,"   How do you diagnose Kaposi's sarcoma and how do you treat it? Sarcoma Sarcoma, Kaposi Soft Tissue Sarcoma Kaposi Sarcoma ",   How should I treat polymenorrhea in a 14-year-old girl?
2118,   Could an axillary mass in a pregnant woman at 31 weeks gestation be breast tissue? ,   Could an axillary mass in a pregnant woman at 31 weeks gestation be breast tissue?
2119,   Could an axillary mass in a pregnant woman at 31 weeks gestation be breast tissue? ,"   Should patients with osteoporosis get bone densitometry, because now we have Fosamax?"
2120,   What is the best way to change pills in someone with irregular bleeding on oral contraceptives?  What is the underlying rationale? Hemorrhage ,   What is the best way to change pills in someone with irregular bleeding on oral contraceptives?
2121,   What is the best way to change pills in someone with irregular bleeding on oral contraceptives?  What is the underlying rationale? Hemorrhage ,   How should you adjust the birth control pill if someone has spotting on it?
2122,   Which tricyclics have decreased orthostatic blood pressure effects? ,   Which tricyclics have the least effect on orthostatic blood pressure?
2123,   Which tricyclics have decreased orthostatic blood pressure effects? ,   How should I treat polymenorrhea in a 14-year-old girl?
2124,"   What is the differential diagnosis of someone with hypoxia, not dyspneic, normal chest x-ray, status post fractured hip, pH normal, pCO2 normal, PO2 56, nonsmoker? Hypoxia Hypoxia, Brain ",   What is the differential diagnosis of someone with hypoxia after a fractured hip?
2125,"   What is the differential diagnosis of someone with hypoxia, not dyspneic, normal chest x-ray, status post fractured hip, pH normal, pCO2 normal, PO2 56, nonsmoker? Hypoxia Hypoxia, Brain ",   How should I treat polymenorrhea in a 14-year-old girl?
2126,   How do you treat agitated depression? Depression Depressive Disorder ,   How do you treat agitated depression?
2127,   How do you treat agitated depression? Depression Depressive Disorder ,"   What to do with this patient, biopsy shows carcinoma in situ of the vulva?"
2128,   Can imipramine cause leukopenia (white blood cell count 3.8)? Inflammatory Bowel Diseases Leukopenia ,   Can imipramine cause leukopenia?
2129,   Can imipramine cause leukopenia (white blood cell count 3.8)? Inflammatory Bowel Diseases Leukopenia ,   Let's give these immunizations.  That's right isn't it?
2130,   What can you use to prevent a transfusion reaction in someone with a history of febrile transfusion reactions in the past? Fever ,   What can you use to prevent a transfusion reaction?
2131,   What can you use to prevent a transfusion reaction in someone with a history of febrile transfusion reactions in the past? Fever ,"   Patient with malignant melanoma; on pathology report, how to interpret Clark levels?"
2132,"   Is platelet function affected by nonsteroidal antiinflammatory drugs the same as by aspirin?  For example, can you give them to someone with a lower gastrointestinal bleed? Hemorrhage Gastrointestinal Hemorrhage ",   Is platelet function affected by nonsteroidal antiinflammatory drugs?
2133,"   Is platelet function affected by nonsteroidal antiinflammatory drugs the same as by aspirin?  For example, can you give them to someone with a lower gastrointestinal bleed? Hemorrhage Gastrointestinal Hemorrhage ",   How should I treat polymenorrhea in a 14-year-old girl?
2134,   Is there any evidence that stool softeners like Colace (Docusate sodium) do anything? ,   Is there any evidence that stool softeners are effective?
2135,   Is there any evidence that stool softeners like Colace (Docusate sodium) do anything? ,   What antibiotic should I use for this diabetic patient's infected foot ulcer?
2136,"   Why do elderly people sometimes get disoriented, confused, agitated shortly after hospital admission?  Is it latent Alzheimer's disease? Alzheimer Disease Familial Alzheimer Disease ",   Why do elderly people get disoriented after hospital admission?
2137,"   Why do elderly people sometimes get disoriented, confused, agitated shortly after hospital admission?  Is it latent Alzheimer's disease? Alzheimer Disease Familial Alzheimer Disease ",   How should I treat polymenorrhea in a 14-year-old girl?
